TransactionId,UserId,VisitYear,VisitMonth,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionType,VisitModeID,VisitMode,CityName,Country,Region,Continent,VisitDate,RatingCategory,VisitYearMonth,UserVisitCount,AttractionVisitCount,AttractionAverageRating,AttractionPopularity,RatingScore,VisitYearGroup,UserAverageRating,CityVisitCount
199884,53429,2017,11,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,High,2017-11,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199885,53429,2017,11,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,High,2017-11,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199886,53429,2017,11,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,High,2017-11,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199887,53429,2017,11,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,High,2017-11,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199888,53429,2017,11,1166,4,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,High,2017-11,25,1324,3.869335347432024,Highly Popular,0.8,2016-2020,4.6,92.0
199889,53429,2017,11,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,High,2017-11,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199890,53429,2017,11,1166,4,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,High,2017-11,25,1324,3.869335347432024,Highly Popular,0.8,2016-2020,4.6,92.0
199891,53429,2017,11,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,High,2017-11,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199892,53429,2017,11,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,High,2017-11,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199893,53429,2018,5,1166,4,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,Malaysia,South East Asia,Asia,2018-05-01,High,2018-05,25,1324,3.869335347432024,Highly Popular,0.8,2016-2020,4.6,92.0
199894,53429,2018,5,1166,4,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,Malaysia,South East Asia,Asia,2018-05-01,High,2018-05,25,1324,3.869335347432024,Highly Popular,0.8,2016-2020,4.6,92.0
199895,53429,2017,11,1166,4,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,High,2017-11,25,1324,3.869335347432024,Highly Popular,0.8,2016-2020,4.6,92.0
199896,53429,2017,11,1166,3,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Malaysia,South East Asia,Asia,2017-11-01,Average,2017-11,25,1324,3.869335347432024,Highly Popular,0.6,2016-2020,4.6,92.0
199897,53429,2018,5,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,Malaysia,South East Asia,Asia,2018-05-01,High,2018-05,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199898,53429,2018,5,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,Malaysia,South East Asia,Asia,2018-05-01,High,2018-05,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199899,53429,2018,5,1166,5,3,14,103,3385.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,Malaysia,South East Asia,Asia,2018-05-01,High,2018-05,25,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.6,92.0
199900,53536,2013,12,1166,3,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,United States,Northern America,America,2013-12-01,Average,2013-12,3,1324,3.869335347432024,Highly Popular,0.6,2010-2015,4.0,1520.0
199901,53536,2013,10,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2013-10-01,High,2013-10,3,1324,3.869335347432024,Highly Popular,1.0,2010-2015,4.0,1520.0
199902,53536,2014,5,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,United States,Northern America,America,2014-05-01,High,2014-05,3,1324,3.869335347432024,Highly Popular,0.8,2010-2015,4.0,1520.0
199904,53583,2017,10,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,United States,Northern America,America,2017-10-01,High,2017-10,1,1324,3.869335347432024,Highly Popular,1.0,2016-2020,5.0,1520.0
199906,53623,2017,8,1166,4,5,17,122,5748.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,2,Couples,N'Djamena,Croatia,Central Europe,Europe,2017-08-01,High,2017-08,1,1324,3.869335347432024,Highly Popular,0.8,2016-2020,4.0,28.0
199908,53689,2015,8,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,United States,Northern America,America,2015-08-01,High,2015-08,2,1324,3.869335347432024,Highly Popular,0.8,2010-2015,3.5,1520.0
199909,53689,2015,8,1166,3,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2015-08-01,Average,2015-08,2,1324,3.869335347432024,Highly Popular,0.6,2010-2015,3.5,1520.0
199911,53772,2018,2,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,High,2018-02,15,1324,3.869335347432024,Highly Popular,0.8,2016-2020,3.6,1520.0
199912,53772,2018,2,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,High,2018-02,15,1324,3.869335347432024,Highly Popular,0.8,2016-2020,3.6,1520.0
199913,53772,2018,2,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,High,2018-02,15,1324,3.869335347432024,Highly Popular,0.8,2016-2020,3.6,1520.0
199914,53772,2018,2,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,High,2018-02,15,1324,3.869335347432024,Highly Popular,0.8,2016-2020,3.6,1520.0
199915,53772,2018,2,1166,3,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,Average,2018-02,15,1324,3.869335347432024,Highly Popular,0.6,2016-2020,3.6,1520.0
199916,53772,2018,2,1166,3,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,Average,2018-02,15,1324,3.869335347432024,Highly Popular,0.6,2016-2020,3.6,1520.0
199917,53772,2018,2,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,High,2018-02,15,1324,3.869335347432024,Highly Popular,0.8,2016-2020,3.6,1520.0
199918,53772,2018,2,1166,3,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,Average,2018-02,15,1324,3.869335347432024,Highly Popular,0.6,2016-2020,3.6,1520.0
199919,53772,2018,2,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,High,2018-02,15,1324,3.869335347432024,Highly Popular,0.8,2016-2020,3.6,1520.0
199920,53772,2018,2,1166,3,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,Average,2018-02,15,1324,3.869335347432024,Highly Popular,0.6,2016-2020,3.6,1520.0
199921,53772,2018,2,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,High,2018-02,15,1324,3.869335347432024,Highly Popular,0.8,2016-2020,3.6,1520.0
199922,53772,2018,2,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,High,2018-02,15,1324,3.869335347432024,Highly Popular,0.8,2016-2020,3.6,1520.0
199923,53772,2018,2,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,High,2018-02,15,1324,3.869335347432024,Highly Popular,0.8,2016-2020,3.6,1520.0
199924,53772,2018,2,1166,3,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,Average,2018-02,15,1324,3.869335347432024,Highly Popular,0.6,2016-2020,3.6,1520.0
199925,53772,2018,2,1166,3,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-02-01,Average,2018-02,15,1324,3.869335347432024,Highly Popular,0.6,2016-2020,3.6,1520.0
199926,53868,2016,12,1166,5,3,14,106,3551.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,3,Family,N'Djamena,Singapore,South East Asia,Asia,2016-12-01,High,2016-12,8,1324,3.869335347432024,Highly Popular,1.0,2016-2020,3.875,2765.0
199927,53868,2015,3,1166,4,3,14,106,3551.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,4,Friends,N'Djamena,Singapore,South East Asia,Asia,2015-03-01,High,2015-03,8,1324,3.869335347432024,Highly Popular,0.8,2010-2015,3.875,2765.0
199928,53868,2015,3,1166,3,3,14,106,3551.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,3,Family,N'Djamena,Singapore,South East Asia,Asia,2015-03-01,Average,2015-03,8,1324,3.869335347432024,Highly Popular,0.6,2010-2015,3.875,2765.0
199929,53868,2014,9,1166,4,3,14,106,3551.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,Singapore,South East Asia,Asia,2014-09-01,High,2014-09,8,1324,3.869335347432024,Highly Popular,0.8,2010-2015,3.875,2765.0
199930,53868,2014,12,1166,3,3,14,106,3551.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,3,Family,N'Djamena,Singapore,South East Asia,Asia,2014-12-01,Average,2014-12,8,1324,3.869335347432024,Highly Popular,0.6,2010-2015,3.875,2765.0
199931,53868,2015,1,1166,5,3,14,106,3551.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,3,Family,N'Djamena,Singapore,South East Asia,Asia,2015-01-01,High,2015-01,8,1324,3.869335347432024,Highly Popular,1.0,2010-2015,3.875,2765.0
199933,54083,2013,3,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,3,Family,N'Djamena,United States,Northern America,America,2013-03-01,High,2013-03,2,1324,3.869335347432024,Highly Popular,1.0,2010-2015,5.0,1520.0
199934,54083,2013,3,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,3,Family,N'Djamena,United States,Northern America,America,2013-03-01,High,2013-03,2,1324,3.869335347432024,Highly Popular,1.0,2010-2015,5.0,1520.0
199935,54097,2018,6,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-06-01,High,2018-06,7,1324,3.869335347432024,Highly Popular,0.8,2016-2020,4.714285714285714,1520.0
199936,54097,2018,6,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-06-01,High,2018-06,7,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.714285714285714,1520.0
199937,54097,2018,6,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-06-01,High,2018-06,7,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.714285714285714,1520.0
199938,54097,2018,6,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-06-01,High,2018-06,7,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.714285714285714,1520.0
199939,54097,2018,6,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-06-01,High,2018-06,7,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.714285714285714,1520.0
199940,54097,2018,6,1166,5,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-06-01,High,2018-06,7,1324,3.869335347432024,Highly Popular,1.0,2016-2020,4.714285714285714,1520.0
199941,54097,2018,6,1166,4,2,8,51,1133.0,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets,5,Solo,N'Djamena,United States,Northern America,America,2018-06-01,High,2018-06,7,1324,3.869335347432024,Highly Popular,0.8,2016-2020,4.714285714285714,1520.0
