TransactionId,UserId,VisitYear,VisitMonth,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionType,VisitModeID,VisitMode,CityName,Country,Region,Continent,VisitDate,RatingCategory,VisitYearMonth
12525,633,2015,11,640,4,5,21,158,7195,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,Belgium,Western Europe,Europe,2015-11-01,High,2015-11
12526,11833,2015,11,640,3,4,15,109,4303,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2015-11-01,Average,2015-11
12527,2256,2015,11,640,5,4,15,109,1434,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,Australia,Australia,Australia & Oceania,2015-11-01,High,2015-11
12528,42714,2015,11,640,5,4,15,109,3689,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2015-11-01,High,2015-11
12530,80555,2015,11,640,5,4,15,109,535,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2015-11-01,High,2015-11
12532,8339,2015,10,640,5,2,8,51,394,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United States,Northern America,America,2015-10-01,High,2015-10
12533,70836,2015,5,640,4,2,8,48,371,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Canada,Northern America,America,2015-05-01,High,2015-05
12535,71982,2015,11,640,1,3,12,89,2623,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Arab Emirates,Middle East,Asia,2015-11-01,Low,2015-11
12538,37105,2015,11,640,3,2,8,51,1313,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,United States,Northern America,America,2015-11-01,Average,2015-11
12539,667,2015,11,640,5,2,8,51,1716,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,United States,Northern America,America,2015-11-01,High,2015-11
12540,26007,2015,11,640,5,5,21,163,8779,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2015-11-01,High,2015-11
12543,52031,2014,12,640,5,2,9,54,2216,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,Brazil,South America,America,2014-12-01,High,2014-12
12544,24800,2015,9,640,5,5,17,131,6129,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Romania,Central Europe,Europe,2015-09-01,High,2015-09
12545,12655,2015,10,640,4,5,17,135,6244,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Switzerland,Central Europe,Europe,2015-10-01,High,2015-10
12546,44014,2015,11,640,5,2,8,48,494,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Canada,Northern America,America,2015-11-01,High,2015-11
12547,59310,2015,11,640,5,5,17,130,6117,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Poland,Central Europe,Europe,2015-11-01,High,2015-11
12549,36156,2015,11,640,5,3,11,69,2298,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,China,East Asia,Asia,2015-11-01,High,2015-11
12551,64427,2015,11,640,4,3,13,91,2648,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,Bangladesh,South Asia,Asia,2015-11-01,High,2015-11
12553,15341,2015,10,640,4,2,8,48,441,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Canada,Northern America,America,2015-10-01,High,2015-10
12554,66378,2015,11,640,3,2,8,51,1919,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,United States,Northern America,America,2015-11-01,Average,2015-11
12555,75716,2015,11,640,5,3,13,93,2690,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,India,South Asia,Asia,2015-11-01,High,2015-11
12556,81035,2015,8,640,4,3,11,71,2409,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Japan,East Asia,Asia,2015-08-01,High,2015-08
12557,23174,2015,11,640,4,4,15,109,3915,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,Australia,Australia,Australia & Oceania,2015-11-01,High,2015-11
12558,53049,2015,11,640,3,4,15,109,3772,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Australia,Australia,Australia & Oceania,2015-11-01,Average,2015-11
12559,33734,2015,10,640,4,2,8,48,401,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Canada,Northern America,America,2015-10-01,High,2015-10
12560,49409,2015,8,640,5,5,20,150,692,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,1,Business,Douala,Greece,Southern Europe,Europe,2015-08-01,High,2015-08
12561,12500,2015,10,640,5,5,20,152,6969,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,Malta,Southern Europe,Europe,2015-10-01,High,2015-10
12562,68651,2015,11,640,5,5,21,162,7866,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Netherlands,Western Europe,Europe,2015-11-01,High,2015-11
